200L X2_H
[epoch 34] , pixel_metric: 0.9736, PSNR: 35.5638
[epoch 35] , pixel_metric: 0.9735, PSNR: 35.5826
[epoch 36] , pixel_metric: 0.9735, PSNR: 35.5083
[epoch 37] , pixel_metric: 0.9732, PSNR: 35.4280
[epoch 38] , pixel_metric: 0.9740, PSNR: 35.6715
[epoch 39] , pixel_metric: 0.9740, PSNR: 35.6612
[epoch 40] , pixel_metric: 0.9740, PSNR: 35.6237
[epoch 41] , pixel_metric: 0.9743, PSNR: 35.7561
[epoch 42] , pixel_metric: 0.9739, PSNR: 35.6674
[epoch 43] , pixel_metric: 0.9740, PSNR: 35.7057
[epoch 44] , pixel_metric: 0.9745, PSNR: 35.7504
[epoch 45] , pixel_metric: 0.9739, PSNR: 35.5372
[epoch 46] , pixel_metric: 0.9743, PSNR: 35.6985
[epoch 47] , pixel_metric: 0.9737, PSNR: 35.5601
[epoch 48] , pixel_metric: 0.9740, PSNR: 35.7467
[epoch 49] , pixel_metric: 0.9744, PSNR: 35.7261
[epoch 50] , pixel_metric: 0.9741, PSNR: 35.7162
[epoch 51] , pixel_metric: 0.9751, PSNR: 35.9246
[epoch 52] , pixel_metric: 0.9750, PSNR: 35.9098
[epoch 53] , pixel_metric: 0.9750, PSNR: 35.8969
[epoch 54] , pixel_metric: 0.9752, PSNR: 35.9624
[epoch 55] , pixel_metric: 0.9751, PSNR: 35.9640
[epoch 56] , pixel_metric: 0.9753, PSNR: 35.9530
[epoch 57] , pixel_metric: 0.9752, PSNR: 35.9424
[epoch 58] , pixel_metric: 0.9752, PSNR: 35.9545
[epoch 59] , pixel_metric: 0.9753, PSNR: 35.9813
[epoch 60] , pixel_metric: 0.9753, PSNR: 35.9739
[epoch 61] , pixel_metric: 0.9754, PSNR: 35.9852
[epoch 62] , pixel_metric: 0.9753, PSNR: 35.9749
[epoch 63] , pixel_metric: 0.9752, PSNR: 35.9563
[epoch 64] , pixel_metric: 0.9752, PSNR: 35.9720
[epoch 65] , pixel_metric: 0.9753, PSNR: 35.9955
[epoch 66] , pixel_metric: 0.9753, PSNR: 35.9960
[epoch 67] , pixel_metric: 0.9753, PSNR: 35.9739
[epoch 68] , pixel_metric: 0.9751, PSNR: 35.9394
[epoch 69] , pixel_metric: 0.9755, PSNR: 35.9924
[epoch 70] , pixel_metric: 0.9754, PSNR: 36.0115
[epoch 71] , pixel_metric: 0.9755, PSNR: 36.0285
[epoch 72] , pixel_metric: 0.9753, PSNR: 35.9631
[epoch 73] , pixel_metric: 0.9754, PSNR: 35.9595
[epoch 74] , pixel_metric: 0.9754, PSNR: 35.9415
[epoch 75] , pixel_metric: 0.9754, PSNR: 35.9964
[epoch 76] , pixel_metric: 0.9756, PSNR: 36.0497
[epoch 77] , pixel_metric: 0.9755, PSNR: 35.9860
[epoch 78] , pixel_metric: 0.9756, PSNR: 36.0528
[epoch 79] , pixel_metric: 0.9755, PSNR: 36.0203
[epoch 80] , pixel_metric: 0.9755, PSNR: 36.0358
[epoch 81] , pixel_metric: 0.9757, PSNR: 36.0737
[epoch 82] , pixel_metric: 0.9757, PSNR: 36.0620
[epoch 83] , pixel_metric: 0.9757, PSNR: 36.0663
